outcome,backers,category_name,country_name,count(*)
canceled,2,Design,CA,1
canceled,2,Design,US,4
canceled,2,Fashion,CA,1
canceled,2,Fashion,GB,2
canceled,2,Fashion,IT,1
canceled,2,Fashion,NL,1
canceled,2,Fashion,US,3
canceled,2,"Film & Video",AU,1
canceled,2,"Film & Video",GB,2
canceled,2,"Film & Video",NL,1
canceled,2,"Film & Video",NZ,1
canceled,2,"Film & Video",US,8
canceled,2,Food,GB,3
canceled,2,Food,US,4
canceled,2,Games,CA,1
canceled,2,Games,GB,1
canceled,2,Games,US,7
canceled,2,Music,CA,1
canceled,2,Music,US,5
canceled,2,Photography,US,2
canceled,2,Publishing,AU,1
canceled,2,Publishing,US,8
canceled,2,Technology,AT,1
canceled,2,Technology,AU,1
canceled,2,Technology,CH,1
canceled,2,Technology,DK,1
canceled,2,Technology,US,10
canceled,2,Theater,US,3
failed,2,Art,AU,1
failed,2,Art,CA,6
failed,2,Art,ES,1
failed,2,Art,GB,10
failed,2,Art,IT,2
failed,2,Art,SE,1
failed,2,Art,US,35
failed,2,Comics,CA,2
failed,2,Comics,GB,1
failed,2,Comics,US,10
failed,2,Crafts,DE,1
failed,2,Crafts,GB,5
failed,2,Crafts,US,22
failed,2,Dance,AU,1
failed,2,Dance,US,8
failed,2,Design,AT,1
failed,2,Design,CA,1
failed,2,Design,DE,1
failed,2,Design,ES,1
failed,2,Design,GB,4
failed,2,Design,IT,1
failed,2,Design,MX,1
failed,2,Design,NL,1
failed,2,Design,SG,1
failed,2,Design,US,33
failed,2,Fashion,AU,1
failed,2,Fashion,CA,1
failed,2,Fashion,DK,1
failed,2,Fashion,FR,1
failed,2,Fashion,GB,4
failed,2,Fashion,US,49
failed,2,"Film & Video",AT,1
failed,2,"Film & Video",AU,3
failed,2,"Film & Video",CA,2
failed,2,"Film & Video",GB,10
failed,2,"Film & Video",IT,1
failed,2,"Film & Video",NZ,1
failed,2,"Film & Video",US,111
failed,2,Food,AU,1
failed,2,Food,CA,8
failed,2,Food,GB,2
failed,2,Food,IT,3
failed,2,Food,MX,1
failed,2,Food,US,59
failed,2,Games,AU,6
failed,2,Games,CH,1
failed,2,Games,ES,2
failed,2,Games,GB,3
failed,2,Games,MX,1
failed,2,Games,NL,1
failed,2,Games,SE,1
failed,2,Games,US,37
failed,2,Journalism,BE,1
failed,2,Journalism,MX,1
failed,2,Journalism,US,5
failed,2,Music,CH,1
failed,2,Music,DE,1
failed,2,Music,GB,6
failed,2,Music,IT,1
failed,2,Music,NL,2
failed,2,Music,US,72
failed,2,Photography,AU,2
failed,2,Photography,CA,1
failed,2,Photography,DE,1
failed,2,Photography,DK,1
failed,2,Photography,ES,1
failed,2,Photography,GB,5
failed,2,Photography,IT,1
failed,2,Photography,US,16
failed,2,Publishing,AU,3
failed,2,Publishing,BE,1
failed,2,Publishing,CA,7
failed,2,Publishing,CH,1
failed,2,Publishing,GB,6
failed,2,Publishing,NL,1
failed,2,Publishing,NO,1
failed,2,Publishing,SE,1
failed,2,Publishing,US,74
failed,2,Technology,AU,2
failed,2,Technology,CA,4
failed,2,Technology,DE,2
failed,2,Technology,DK,1
failed,2,Technology,ES,2
failed,2,Technology,GB,13
failed,2,Technology,IT,2
failed,2,Technology,NL,1
failed,2,Technology,NZ,1
failed,2,Technology,US,48
failed,2,Theater,DK,1
failed,2,Theater,GB,2
failed,2,Theater,SE,1
failed,2,Theater,US,14
live,2,Comics,US,1
live,2,Crafts,US,1
live,2,Design,US,1
live,2,Music,US,1
live,2,Publishing,MX,1
live,2,Publishing,US,2
live,2,Technology,US,1
successful,2,Art,GB,1
successful,2,Art,US,5
successful,2,Crafts,GB,1
successful,2,Fashion,US,2
successful,2,"Film & Video",AU,1
successful,2,"Film & Video",GB,1
successful,2,Food,US,3
successful,2,Music,US,1
successful,2,Photography,US,1
suspended,2,Crafts,NL,1
suspended,2,Design,US,1
suspended,2,"Film & Video",US,1
suspended,2,Food,US,1
suspended,2,Technology,CA,1
canceled,3,Art,CA,1
canceled,3,Art,ES,1
canceled,3,Art,US,3
canceled,3,Comics,US,1
canceled,3,Crafts,GB,1
canceled,3,Crafts,US,3
canceled,3,Dance,US,2
canceled,3,Design,DE,1
canceled,3,Design,ES,2
canceled,3,Design,MX,1
canceled,3,Design,US,5
canceled,3,Fashion,IT,1
canceled,3,Fashion,US,1
canceled,3,"Film & Video",FR,1
canceled,3,"Film & Video",GB,1
canceled,3,"Film & Video",US,14
canceled,3,Food,GB,1
canceled,3,Food,US,3
canceled,3,Games,AU,3
canceled,3,Games,ES,1
canceled,3,Games,GB,2
canceled,3,Games,US,10
canceled,3,Music,US,6
canceled,3,Photography,US,3
canceled,3,Publishing,US,9
canceled,3,Technology,DK,1
canceled,3,Technology,GB,1
canceled,3,Technology,NO,1
canceled,3,Technology,US,1
canceled,3,Theater,FR,1
canceled,3,Theater,US,1
failed,3,Art,AU,1
failed,3,Art,CA,4
failed,3,Art,GB,3
failed,3,Art,NZ,1
failed,3,Art,US,35
failed,3,Comics,CA,2
failed,3,Comics,US,10
failed,3,Crafts,AU,2
failed,3,Crafts,CA,1
failed,3,Crafts,FR,1
failed,3,Crafts,GB,1
failed,3,Crafts,US,17
failed,3,Dance,US,1
failed,3,Design,AU,1
failed,3,Design,CA,2
failed,3,Design,GB,3
failed,3,Design,HK,1
failed,3,Design,US,24
failed,3,Fashion,AU,2
failed,3,Fashion,CA,2
failed,3,Fashion,CH,1
failed,3,Fashion,GB,5
failed,3,Fashion,MX,1
failed,3,Fashion,US,32
failed,3,"Film & Video",AU,2
failed,3,"Film & Video",CA,2
failed,3,"Film & Video",CH,1
failed,3,"Film & Video",DE,1
failed,3,"Film & Video",DK,1
failed,3,"Film & Video",FR,1
failed,3,"Film & Video",GB,8
failed,3,"Film & Video",US,66
failed,3,Food,GB,1
failed,3,Food,IT,2
failed,3,Food,SE,1
failed,3,Food,US,35
failed,3,Games,AT,1
failed,3,Games,AU,1
failed,3,Games,CA,1
failed,3,Games,DK,1
failed,3,Games,FR,1
failed,3,Games,GB,2
failed,3,Games,US,26
failed,3,Journalism,CH,1
failed,3,Journalism,GB,1
failed,3,Journalism,US,3
failed,3,Music,AU,1
failed,3,Music,CA,5
failed,3,Music,GB,3
failed,3,Music,NO,1
failed,3,Music,US,40
failed,3,Photography,DE,1
failed,3,Photography,FR,1
failed,3,Photography,GB,2
failed,3,Photography,US,17
failed,3,Publishing,AU,1
failed,3,Publishing,CA,4
failed,3,Publishing,ES,1
failed,3,Publishing,GB,5
failed,3,Publishing,NZ,1
failed,3,Publishing,SE,1
failed,3,Publishing,US,50
failed,3,Technology,AU,6
failed,3,Technology,BE,1
failed,3,Technology,CA,4
failed,3,Technology,DE,4
failed,3,Technology,FR,1
failed,3,Technology,IT,3
failed,3,Technology,MX,1
failed,3,Technology,SE,1
failed,3,Technology,US,35
failed,3,Theater,US,8
live,3,Art,DK,1
live,3,Art,US,1
live,3,"Film & Video",GB,1
live,3,"Film & Video",US,1
live,3,Publishing,US,1
live,3,Technology,NZ,1
successful,3,Art,GB,1
successful,3,Art,US,1
successful,3,Crafts,US,1
successful,3,"Film & Video",US,1
successful,3,Food,AU,1
successful,3,Food,GB,1
successful,3,Food,US,1
successful,3,Music,US,1
successful,3,Publishing,US,1
suspended,3,Games,US,1
suspended,3,Theater,US,1
canceled,4,Art,DK,1
canceled,4,Art,GB,1
canceled,4,Art,US,1
canceled,4,Comics,AU,1
canceled,4,Crafts,US,2
canceled,4,Design,AU,1
canceled,4,Design,BE,1
canceled,4,Design,CA,1
canceled,4,Design,ES,1
canceled,4,Design,NL,1
canceled,4,Design,US,4
canceled,4,Fashion,GB,1
canceled,4,Fashion,US,2
canceled,4,"Film & Video",AU,1
canceled,4,"Film & Video",CA,1
canceled,4,"Film & Video",US,8
canceled,4,Food,AU,1
canceled,4,Food,GB,1
canceled,4,Food,US,4
canceled,4,Games,CA,1
canceled,4,Games,GB,3
canceled,4,Games,US,6
canceled,4,Photography,US,4
canceled,4,Publishing,US,3
canceled,4,Technology,GB,2
canceled,4,Technology,US,3
failed,4,Art,AU,1
failed,4,Art,CA,1
failed,4,Art,GB,3
failed,4,Art,US,22
failed,4,Comics,GB,1
failed,4,Comics,US,11
failed,4,Crafts,AU,1
failed,4,Crafts,CA,2
failed,4,Crafts,DE,2
failed,4,Crafts,GB,1
failed,4,Crafts,US,15
failed,4,Dance,US,1
failed,4,Design,AU,1
failed,4,Design,DE,1
failed,4,Design,HK,1
failed,4,Design,IE,1
failed,4,Design,MX,1
failed,4,Design,US,22
failed,4,Fashion,AU,1
failed,4,Fashion,CA,1
failed,4,Fashion,GB,3
failed,4,Fashion,IT,1
failed,4,Fashion,NL,1
failed,4,Fashion,US,17
failed,4,"Film & Video",AT,1
failed,4,"Film & Video",AU,1
failed,4,"Film & Video",CA,2
failed,4,"Film & Video",DE,1
failed,4,"Film & Video",DK,1
failed,4,"Film & Video",ES,1
failed,4,"Film & Video",GB,4
failed,4,"Film & Video",NO,1
failed,4,"Film & Video",NZ,1
failed,4,"Film & Video",US,59
failed,4,Food,GB,3
failed,4,Food,IT,2
failed,4,Food,US,18
failed,4,Games,CA,3
failed,4,Games,DE,1
failed,4,Games,ES,1
failed,4,Games,GB,2
failed,4,Games,US,18
failed,4,Journalism,CA,1
failed,4,Journalism,US,4
failed,4,Music,CA,1
failed,4,Music,GB,3
failed,4,Music,SE,2
failed,4,Music,US,35
failed,4,Photography,AU,2
failed,4,Photography,IT,1
failed,4,Photography,MX,1
failed,4,Photography,US,10
failed,4,Publishing,AT,1
failed,4,Publishing,CH,1
failed,4,Publishing,GB,3
failed,4,Publishing,IT,2
failed,4,Publishing,MX,1
failed,4,Publishing,US,46
failed,4,Technology,AU,2
failed,4,Technology,CA,2
failed,4,Technology,DE,2
failed,4,Technology,FR,1
failed,4,Technology,GB,5
failed,4,Technology,HK,1
failed,4,Technology,IT,1
failed,4,Technology,NL,3
failed,4,Technology,SG,1
failed,4,Technology,US,25
failed,4,Theater,US,9
live,4,Art,IT,1
live,4,Design,US,1
live,4,Games,US,1
live,4,Music,CA,1
live,4,Photography,ES,1
live,4,Technology,DE,1
successful,4,Art,US,3
successful,4,Crafts,CA,1
successful,4,Crafts,MX,1
successful,4,Design,US,2
successful,4,"Film & Video",US,1
successful,4,Food,US,1
successful,4,Games,IT,1
successful,4,Games,US,2
successful,4,Music,US,3
successful,4,Publishing,US,1
successful,4,Theater,US,1
suspended,4,Journalism,US,1
suspended,4,Technology,IT,1
canceled,5,Art,US,1
canceled,5,Design,US,1
canceled,5,Fashion,US,4
canceled,5,"Film & Video",US,5
canceled,5,Food,AU,1
canceled,5,Food,CA,1
canceled,5,Food,US,2
canceled,5,Games,CA,1
canceled,5,Games,US,5
canceled,5,Journalism,GB,1
canceled,5,Music,GB,1
canceled,5,Music,US,3
canceled,5,Publishing,US,2
canceled,5,Technology,CA,1
canceled,5,Technology,US,4
canceled,5,Theater,US,2
failed,5,Art,AU,1
failed,5,Art,GB,1
failed,5,Art,HK,1
failed,5,Art,MX,1
failed,5,Art,NZ,1
failed,5,Art,US,19
failed,5,Comics,AU,1
failed,5,Comics,GB,1
failed,5,Comics,US,6
failed,5,Crafts,US,5
failed,5,Dance,US,1
failed,5,Design,AU,1
failed,5,Design,CA,2
failed,5,Design,DE,2
failed,5,Design,ES,1
failed,5,Design,NO,1
