outcome,campaign_length_in_days,category_name,sub_category_name,total
failed,30,Publishing,Calendars,1
failed,30,Publishing,"Children's Books",67
failed,30,Publishing,Fiction,107
failed,30,Publishing,"Literary Journals",4
failed,30,Publishing,Nonfiction,96
failed,30,Publishing,Periodicals,13
failed,30,Publishing,Poetry,18
failed,30,Publishing,Publishing,42
failed,30,Publishing,"Radio & Podcasts",6
failed,30,Publishing,"Young Adult",10
failed,30,Publishing,Zines,1
failed,30,Technology,Technology,1
failed,30,Technology,"3D Printing",7
failed,30,Technology,Apps,64
failed,30,Technology,"Camera Equipment",1
failed,30,Technology,"DIY Electronics",8
failed,30,Technology,"Fabrication Tools",5
failed,30,Technology,Flight,4
failed,30,Technology,Gadgets,15
failed,30,Technology,Hardware,18
failed,30,Technology,Robots,1
failed,30,Technology,Software,23
failed,30,Technology,Sound,4
failed,30,Technology,"Space Exploration",3
failed,30,Technology,Technology,56
failed,30,Technology,Wearables,4
failed,30,Technology,Web,53
failed,30,Theater,Experimental,8
failed,30,Theater,Festivals,2
failed,30,Theater,Immersive,3
failed,30,Theater,Musical,5
failed,30,Theater,Plays,4
failed,30,Theater,Theater,27
failed,31,Art,Art,2
failed,31,Art,"Digital Art",1
failed,31,Art,Painting,2
failed,31,Art,Sculpture,1
failed,31,Comics,"Comic Books",1
failed,31,Comics,Comics,3
failed,31,Comics,"Graphic Novels",1
failed,31,Crafts,Crafts,1
failed,31,Crafts,Quilts,1
failed,31,Crafts,Woodworking,1
failed,31,Design,Design,3
failed,31,Design,"Product Design",15
failed,31,Fashion,Accessories,1
failed,31,Fashion,Apparel,5
failed,31,Fashion,Fashion,4
failed,31,Fashion,Ready-to-wear,1
failed,31,"Film & Video",Animation,1
failed,31,"Film & Video",Comedy,1
failed,31,"Film & Video",Documentary,6
failed,31,"Film & Video",Drama,1
failed,31,"Film & Video",Family,1
failed,31,"Film & Video","Film & Video",3
failed,31,"Film & Video","Narrative Film",5
failed,31,"Film & Video","Science Fiction",1
failed,31,"Film & Video",Shorts,6
failed,31,"Film & Video",Thrillers,1
failed,31,"Film & Video",Webseries,7
failed,31,Food,Drinks,3
failed,31,Food,Farms,1
failed,31,Food,Food,2
failed,31,Food,Restaurants,2
failed,31,Food,"Small Batch",1
failed,31,Food,Spaces,1
failed,31,Food,Vegan,1
failed,31,Games,"Tabletop Games",10
failed,31,Games,"Video Games",6
failed,31,Journalism,Journalism,1
failed,31,Journalism,Print,1
failed,31,Music,"Country & Folk",3
failed,31,Music,Faith,1
failed,31,Music,Hip-Hop,1
failed,31,Music,"Indie Rock",2
failed,31,Music,Jazz,1
failed,31,Music,Music,6
failed,31,Music,R&B,1
failed,31,Music,Rock,2
failed,31,Music,"World Music",1
failed,31,Photography,People,1
failed,31,Photography,Photobooks,1
failed,31,Photography,Photography,2
failed,31,Photography,Places,1
failed,31,Publishing,"Art Books",3
failed,31,Publishing,Calendars,1
failed,31,Publishing,"Children's Books",1
failed,31,Publishing,Fiction,6
failed,31,Publishing,Nonfiction,5
failed,31,Publishing,Publishing,4
failed,31,Technology,"3D Printing",1
failed,31,Technology,Apps,3
failed,31,Technology,Gadgets,1
failed,31,Technology,Hardware,2
failed,31,Technology,Sound,1
failed,31,Technology,Technology,1
failed,31,Technology,Wearables,1
failed,31,Technology,Web,2
failed,31,Theater,Experimental,1
failed,31,Theater,Theater,3
failed,32,Art,Art,3
failed,32,Art,"Digital Art",1
failed,32,Art,Illustration,1
failed,32,Art,"Mixed Media",1
failed,32,Art,Painting,3
failed,32,Comics,"Comic Books",1
failed,32,Design,"Product Design",7
failed,32,Fashion,Accessories,2
failed,32,Fashion,Apparel,2
failed,32,Fashion,Fashion,1
failed,32,Fashion,Footwear,1
failed,32,"Film & Video",Documentary,3
failed,32,"Film & Video",Drama,1
failed,32,"Film & Video","Film & Video",1
